Index       TIME              V(IN)            V(BASE)           V(COLL)           V(OUT)            I(VDD)      
117      3.57527735e-10   -4.94246339e-02    3.06172468e+00    6.00515496e+00   -2.70820863e-01   -4.34175881e-02
118      3.60861069e-10   -4.44310448e-02    3.08164022e+00    5.99174000e+00   -2.66330771e-01   -4.35417799e-02
119      3.64194402e-10   -2.24663068e-02    3.11724169e+00    5.97232333e+00   -2.67938460e-01   -4.37181458e-02
120      3.67527735e-10    8.07979689e-03    3.15991916e+00    5.94846204e+00   -2.73743680e-01   -4.39354200e-02
121      3.70861069e-10    3.55396927e-02    3.19815466e+00    5.92357288e+00   -2.80169083e-01   -4.41651939e-02
122      3.74194402e-10    4.94246339e-02    3.22191758e+00    5.90181357e+00   -2.83151052e-01   -4.43709055e-02
123      3.77527735e-10    4.44310448e-02    3.22648840e+00    5.88640107e+00   -2.79798565e-01   -4.45227451e-02
124      3.80861069e-10    2.24663068e-02    3.21426872e+00    5.87814174e+00   -2.69739952e-01   -4.46114483e-02
125      3.84194402e-10   -8.07979689e-03    3.19388605e+00    5.87500517e+00   -2.55372758e-01   -4.46530053e-02
126      3.87527735e-10   -3.55396927e-02    3.17691703e+00    5.87306352e+00   -2.40776118e-01   -4.46809063e-02
127      3.90861069e-10   -4.94246339e-02    3.17347134e+00    5.86810325e+00   -2.30042429e-01   -4.47322318e-02
128      3.94194402e-10   -4.44310448e-02    3.18833401e+00    5.85715611e+00   -2.25794992e-01   -4.48342719e-02
129      3.97527735e-10   -2.24663068e-02    3.21915217e+00    5.83945279e+00   -2.28359818e-01   -4.49958960e-02
130      4.00861069e-10    8.07979689e-03    3.25735334e+00    5.81674664e+00   -2.35600621e-01   -4.52038569e-02
131      4.04194402e-10    3.55396927e-02    3.29142747e+00    5.79286456e+00   -2.43512267e-01   -4.54256406e-02
132      4.07527735e-10    4.94246339e-02    3.31131238e+00    5.77245583e+00   -2.47552188e-01   -4.56197855e-02
133      4.10861069e-10    4.44310448e-02    3.31222354e+00    5.75909237e+00   -2.44513456e-01   -4.57529645e-02
134      4.14194402e-10    2.24663068e-02    3.29648665e+00    5.75361756e+00   -2.34036599e-01   -4.58155811e-02
135      4.17527735e-10   -8.07979689e-03    3.27267103e+00    5.75371308e+00   -2.18845028e-01   -4.58265337e-02
136      4.20861069e-10   -3.55396927e-02    3.25233209e+00    5.75499576e+00   -2.03484683e-01   -4.58238763e-02
137      4.24194402e-10   -4.94246339e-02    3.24559673e+00    5.75284035e+00   -1.92442522e-01   -4.58487981e-02
138      4.27527735e-10   -4.44310448e-02    3.25729267e+00    5.74404119e+00   -1.88542189e-01   -4.59309417e-02
139      4.30861069e-10   -2.24663068e-02    3.28511606e+00    5.72781079e+00   -1.92085019e-01   -4.60793341e-02
140      4.34194402e-10    8.07979689e-03    3.32053081e+00    5.70609909e+00   -2.00703757e-01   -4.62787437e-02
141      4.37527735e-10    3.55396927e-02    3.35203548e+00    5.68310081e+00   -2.10011531e-01   -4.64929742e-02
142      4.40861069e-10    4.94246339e-02    3.36954203e+00    5.66387789e+00   -2.15065224e-01   -4.66764501e-02
143      4.44194402e-10    4.44310448e-02    3.36821248e+00    5.65228728e+00   -2.12406767e-01   -4.67930209e-02
144      4.47527735e-10    2.24663068e-02    3.35031078e+00    5.64919934e+00   -2.01691438e-01   -4.68328512e-02
145      4.50861069e-10   -8.07979689e-03    3.32435925e+00    5.65206193e+00   -1.85908836e-01   -4.68172011e-02
146      4.54194402e-10   -3.55396927e-02    3.30189693e+00    5.65611362e+00   -1.69993729e-01   -4.67879153e-02
147      4.57527735e-10   -4.94246339e-02    3.29306696e+00    5.65637696e+00   -1.58771546e-01   -4.67896969e-02
148      4.60861069e-10   -4.44310448e-02    3.30273520e+00    5.64944122e+00   -1.55240225e-01   -4.68542202e-02
149      4.64194402e-10   -2.24663068e-02    3.32864119e+00    5.63450757e+00   -1.59676645e-01   -4.69906037e-02
150      4.67527735e-10    8.07979689e-03    3.36228087e+00    5.61369922e+00   -1.69512044e-01   -4.71818674e-02
151      4.70861069e-10    3.55396927e-02    3.39216098e+00    5.59151798e+00   -1.80041496e-01   -4.73887397e-02
152      4.74194402e-10    4.94246339e-02    3.40817342e+00    5.57335532e+00   -1.86002688e-01   -4.75623601e-02
153      4.77527735e-10    4.44310448e-02    3.40543840e+00    5.56328883e+00   -1.83744274e-01   -4.76643925e-02
154      4.80861069e-10    2.24663068e-02    3.38617164e+00    5.56221124e+00   -1.72932638e-01   -4.76848018e-02
155      4.84194402e-10   -8.07979689e-03    3.35885864e+00    5.56739273e+00   -1.56761343e-01   -4.76466433e-02
156      4.87527735e-10   -3.55396927e-02    3.33502560e+00    5.57377344e+00   -1.40472831e-01   -4.75947528e-02
157      4.90861069e-10   -4.94246339e-02    3.32482912e+00    5.57608759e+00   -1.29170566e-01   -4.75767095e-02
158      4.94194402e-10   -4.44310448e-02    3.33316672e+00    5.57075240e+00   -1.26000072e-01   -4.76258927e-02
159      4.97527735e-10   -2.24663068e-02    3.35781407e+00    5.55695972e+00   -1.31218783e-01   -4.77514957e-02
160      5.00861069e-10    8.07979689e-03    3.39029381e+00    5.53697689e+00   -1.42091280e-01   -4.79350842e-02
161      5.04194402e-10    3.55396927e-02    3.41911982e+00    5.51555312e+00   -1.53656784e-01   -4.81349089e-02
162      5.07527735e-10    4.94246339e-02    3.43416875e+00    5.49833602e+00   -1.60405149e-01   -4.82995554e-02
163      5.10861069e-10    4.44310448e-02    3.43052878e+00    5.48957058e+00   -1.58539111e-01   -4.83890298e-02
164      5.14194402e-10    2.24663068e-02    3.41037877e+00    5.49016864e+00   -1.47732020e-01   -4.83931242e-02
165      5.17527735e-10   -8.07979689e-03    3.38217575e+00    5.49726980e+00   -1.31328830e-01   -4.83362141e-02
166      5.20861069e-10   -3.55396927e-02    3.35743577e+00    5.50558497e+00   -1.14809064e-01   -4.82654324e-02
167      5.24194402e-10   -4.94246339e-02    3.34632592e+00    5.50961801e+00   -1.03499089e-01   -4.82306570e-02
168      5.27527735e-10   -4.44310448e-02    3.35376904e+00    5.50564454e+00   -1.00667022e-01   -4.82666701e-02
169      5.30861069e-10   -2.24663068e-02    3.37756995e+00    5.49284776e+00   -1.06556353e-01   -4.83827374e-02
170      5.34194402e-10    8.07979689e-03    3.40927283e+00    5.47361138e+00   -1.18297598e-01   -4.85592498e-02
171      5.37527735e-10    3.55396927e-02    3.43739751e+00    5.45288017e+00   -1.30727954e-01   -4.87524995e-02
172      5.40861069e-10    4.94246339e-02    3.45180910e+00    5.43649829e+00   -1.38147334e-01   -4.89091126e-02
173      5.44194402e-10    4.44310448e-02    3.44757152e+00    5.42883645e+00   -1.36649279e-01   -4.89878497e-02
174      5.47527735e-10    2.24663068e-02    3.42683562e+00    5.43082281e+00   -1.25910914e-01   -4.89783541e-02
175      5.50861069e-10   -8.07979689e-03    3.39803665e+00    5.43950246e+00   -1.09387966e-01   -4.89059570e-02
176      5.54194402e-10   -3.55396927e-02    3.37268255e+00    5.44941250e+00   -9.27403173e-02   -4.88195337e-02
177      5.57527735e-10   -4.94246339e-02    3.36094838e+00    5.45487518e+00   -8.14706064e-02   -4.87707740e-02
178      5.60861069e-10   -4.44310448e-02    3.36777685e+00    5.45205115e+00   -7.89473749e-02   -4.87956001e-02
179      5.64194402e-10   -2.24663068e-02    3.39099584e+00    5.44011540e+00   -8.54047200e-02   -4.89033481e-02
180      5.67527735e-10    8.07979689e-03    3.42216666e+00    5.42154415e+00   -9.78669134e-02   -4.90734751e-02
181      5.70861069e-10    3.55396927e-02    3.44981394e+00    5.40143525e+00   -1.11013147e-01   -4.92607405e-02
182      5.74194402e-10    4.94246339e-02    3.46379407e+00    5.38578282e+00   -1.18998521e-01   -4.94102748e-02
183      5.77527735e-10    4.44310448e-02    3.45915260e+00    5.37905187e+00   -1.17835017e-01   -4.94799050e-02
184      5.80861069e-10    2.24663068e-02    3.43801923e+00    5.38218428e+00   -1.07201399e-01   -4.94591476e-02
185      5.84194402e-10   -8.07979689e-03    3.40881249e+00    5.39215706e+00   -9.06341005e-02   -4.93740232e-02
186      5.87527735e-10   -3.55396927e-02    3.38303390e+00    5.40337614e+00   -7.39295662e-02   -4.92747217e-02
187      5.90861069e-10   -4.94246339e-02    3.37086450e+00    5.41002162e+00   -6.27288021e-02   -4.92143515e-02
188      5.94194402e-10   -4.44310448e-02    3.37726237e+00    5.40816163e+00   -6.04817757e-02   -4.92297525e-02
189      5.97527735e-10   -2.24663068e-02    3.40007355e+00    5.39696358e+00   -6.74165525e-02   -4.93303275e-02
190      6.00861069e-10    8.07979689e-03    3.43087279e+00    5.37897657e+00   -8.04738750e-02   -4.94947979e-02
191      6.04194402e-10    3.55396927e-02    3.45818858e+00    5.35941774e+00   -9.42099167e-02   -4.96767283e-02
192      6.07527735e-10    4.94246339e-02    3.47187068e+00    5.34439555e+00   -1.02669455e-01   -4.98201091e-02
193      6.10861069e-10    4.44310448e-02    3.46695074e+00    5.33844584e+00   -1.01803404e-01   -4.98820662e-02
194      6.14194402e-10    2.24663068e-02    3.44554241e+00    5.34252191e+00   -9.12908593e-02   -4.98520097e-02
195      6.17527735e-10   -8.07979689e-03    3.41605144e+00    5.35355169e+00   -7.47271461e-02   -4.97564574e-02
196      6.20861069e-10   -3.55396927e-02    3.38997425e+00    5.36584210e+00   -5.80120974e-02   -4.96465919e-02
197      6.24194402e-10   -4.94246339e-02    3.37749628e+00    5.37346237e+00   -4.68949246e-02   -4.95766281e-02
198      6.27527735e-10   -4.44310448e-02    3.38358758e+00    5.37240663e+00   -4.48911269e-02   -4.95841399e-02
199      6.30861069e-10   -2.24663068e-02    3.40610833e+00    5.36183550e+00   -5.22250571e-02   -4.96785909e-02
200      6.34194402e-10    8.07979689e-03    3.43664383e+00    5.34435525e+00   -6.57720663e-02   -4.98381256e-02
