Index       TIME             V(BASE)           V(COLL)           V(OUT)            I(VDD)      
190      5.18550369e-10    4.97172757e+00    9.99649445e+00    1.13024962e-01   -2.03556533e-01
191      5.21883703e-10    5.00772744e+00    9.99845865e+00    1.07633867e-01   -2.03633448e-01
192      5.25217036e-10    5.05486185e+00    9.99783430e+00    1.00085537e-01   -2.03685805e-01
193      5.28550369e-10    5.11498821e+00    9.99447015e+00    9.03727780e-02   -2.03802039e-01
194      5.31883703e-10    5.18305318e+00    9.98927695e+00    7.95165964e-02   -2.04059308e-01
195      5.35217036e-10    5.24925283e+00    9.98419679e+00    6.94702129e-02   -2.04488172e-01
196      5.38550369e-10    5.30293931e+00    9.98173968e+00    6.26104164e-02   -2.05045160e-01
197      5.41883703e-10    5.33680237e+00    9.98378686e+00    6.05521760e-02   -2.05612945e-01
198      5.45217036e-10    5.34977998e+00    9.99013390e+00    6.27878797e-02   -2.06045004e-01
199      5.48550369e-10    5.34761073e+00    9.99820452e+00    6.65473225e-02   -2.06239797e-01
200      5.51883703e-10    5.34079031e+00    1.00045219e+01    6.83675614e-02   -2.06195721e-01
201      5.55217036e-10    5.34067879e+00    1.00066674e+01    6.60330511e-02   -2.06009254e-01
202      5.58550369e-10    5.35525486e+00    1.00040687e+01    5.92579489e-02   -2.05827403e-01
203      5.61883703e-10    5.38616320e+00    9.99771662e+00    4.92876881e-02   -2.05791466e-01
204      5.65217036e-10    5.42818428e+00    9.98973392e+00    3.83826478e-02   -2.05992220e-01
205      5.68550369e-10    5.47129784e+00    9.98312448e+00    2.95101115e-02   -2.06435957e-01
206      5.71883703e-10    5.50452885e+00    9.98107976e+00    2.56274685e-02   -2.07025907e-01
207      5.75217036e-10    5.52013189e+00    9.98539870e+00    2.81537064e-02   -2.07581478e-01
208      5.78550369e-10    5.51657454e+00    9.99486743e+00    3.55006255e-02   -2.07911088e-01
209      5.81883703e-10    5.49919440e+00    1.00054530e+01    4.34543360e-02   -2.07909224e-01
210      5.85217036e-10    5.47822915e+00    1.00126742e+01    4.76391358e-02   -2.07611297e-01
