Index       TIME             V(BASE)           V(COLL)           V(OUT)          I(V_SUPPLY)   
177      5.90000000e-10    2.05219578e+00    4.00944213e+00    9.07409970e-03   -2.57619374e-02
178      5.93333333e-10    2.05238693e+00    4.00607824e+00    5.23329954e-03   -2.55032264e-02
179      5.96666667e-10    2.06116757e+00    4.00040755e+00   -5.92093211e-04   -2.53933738e-02
180      6.00000000e-10    2.07518356e+00    3.99457054e+00   -6.20261314e-03   -2.54742690e-02
181      6.03333333e-10    2.08908231e+00    3.99078573e+00   -9.46516653e-03   -2.57155513e-02
182      6.06666667e-10    2.09755643e+00    3.99051694e+00   -9.11463340e-03   -2.60254787e-02
183      6.10000000e-10    2.09736948e+00    3.99388994e+00   -5.26239555e-03   -2.62854015e-02
184      6.13333333e-10    2.08859219e+00    3.99961229e+00    6.14874262e-04   -2.63954531e-02
185      6.16666667e-10    2.07457692e+00    4.00547214e+00    6.24602469e-03   -2.63135156e-02
186      6.20000000e-10    2.06067807e+00    4.00921941e+00    9.46944701e-03   -2.60714362e-02
187      6.23333333e-10    2.05220596e+00    4.00944218e+00    9.07409628e-03   -2.57621041e-02
188      6.26666667e-10    2.05239701e+00    4.00607829e+00    5.23329249e-03   -2.55033914e-02
189      6.30000000e-10    2.06117755e+00    4.00040759e+00   -5.92109661e-04   -2.53935373e-02
190      6.33333333e-10    2.07519345e+00    3.99457058e+00   -6.20262925e-03   -2.54744313e-02
191      6.36666667e-10    2.08909211e+00    3.99078576e+00   -9.46518567e-03   -2.57157125e-02
192      6.40000000e-10    2.09756614e+00    3.99051698e+00   -9.11464521e-03   -2.60256387e-02
193      6.43333333e-10    2.09737910e+00    3.99388998e+00   -5.26240410e-03   -2.62855601e-02
194      6.46666667e-10    2.08860173e+00    3.99961235e+00    6.14875979e-04   -2.63956101e-02
195      6.50000000e-10    2.07458636e+00    4.00547219e+00    6.24602719e-03   -2.63136709e-02
196      6.53333333e-10    2.06068742e+00    4.00921947e+00    9.46945190e-03   -2.60715896e-02
197      6.56666667e-10    2.05221523e+00    4.00944223e+00    9.07409312e-03   -2.57622559e-02
198      6.60000000e-10    2.05240619e+00    4.00607833e+00    5.23328585e-03   -2.55035417e-02
199      6.63333333e-10    2.06118664e+00    4.00040763e+00   -5.92124665e-04   -2.53936863e-02
200      6.66666667e-10    2.07520246e+00    3.99457062e+00   -6.20264413e-03   -2.54745791e-02
201      6.70000000e-10    2.08910103e+00    3.99078579e+00   -9.46520311e-03   -2.57158592e-02
202      6.73333333e-10    2.09757498e+00    3.99051701e+00   -9.11465615e-03   -2.60257843e-02
203      6.76666667e-10    2.09738786e+00    3.99389002e+00   -5.26241189e-03   -2.62857045e-02
204      6.80000000e-10    2.08861040e+00    3.99961239e+00    6.14877367e-04   -2.63957531e-02
205      6.83333333e-10    2.07459496e+00    4.00547224e+00    6.24602947e-03   -2.63138123e-02
206      6.86666667e-10    2.06069594e+00    4.00921952e+00    9.46945620e-03   -2.60717294e-02
207      6.90000000e-10    2.05222366e+00    4.00944227e+00    9.07409026e-03   -2.57623940e-02
208      6.93333333e-10    2.05241454e+00    4.00607837e+00    5.23327965e-03   -2.55036785e-02
209      6.96666667e-10    2.06119492e+00    4.00040766e+00   -5.92138305e-04   -2.53938219e-02
210      7.00000000e-10    2.07521066e+00    3.99457065e+00   -6.20265783e-03   -2.54747137e-02
211      7.03333333e-10    2.08910915e+00    3.99078582e+00   -9.46521897e-03   -2.57159928e-02
212      7.06666667e-10    2.09758303e+00    3.99051705e+00   -9.11466625e-03   -2.60259169e-02
213      7.10000000e-10    2.09739583e+00    3.99389006e+00   -5.26241895e-03   -2.62858360e-02
214      7.13333333e-10    2.08861831e+00    3.99961244e+00    6.14878512e-04   -2.63958833e-02
215      7.16666667e-10    2.07460278e+00    4.00547229e+00    6.24603158e-03   -2.63139410e-02
216      7.20000000e-10    2.06070369e+00    4.00921956e+00    9.46946001e-03   -2.60718566e-02
217      7.23333333e-10    2.05223134e+00    4.00944231e+00    9.07408770e-03   -2.57625198e-02
218      7.26666667e-10    2.05242215e+00    4.00607841e+00    5.23327390e-03   -2.55038030e-02
219      7.30000000e-10    2.06120246e+00    4.00040769e+00   -5.92150686e-04   -2.53939453e-02
220      7.33333333e-10    2.07521812e+00    3.99457067e+00   -6.20267039e-03   -2.54748362e-02
221      7.36666667e-10    2.08911655e+00    3.99078585e+00   -9.46523336e-03   -2.57161144e-02
222      7.40000000e-10    2.09759035e+00    3.99051708e+00   -9.11467553e-03   -2.60260376e-02
223      7.43333333e-10    2.09740310e+00    3.99389009e+00   -5.26242532e-03   -2.62859557e-02
224      7.46666667e-10    2.08862550e+00    3.99961248e+00    6.14879467e-04   -2.63960018e-02
225      7.50000000e-10    2.07460991e+00    4.00547233e+00    6.24603356e-03   -2.63140582e-02
226      7.53333333e-10    2.06071075e+00    4.00921961e+00    9.46946339e-03   -2.60719724e-02
227      7.56666667e-10    2.05223834e+00    4.00944235e+00    9.07408542e-03   -2.57626344e-02
228      7.60000000e-10    2.05242908e+00    4.00607844e+00    5.23326858e-03   -2.55039164e-02
229      7.63333333e-10    2.06120932e+00    4.00040771e+00   -5.92161913e-04   -2.53940577e-02
230      7.66666667e-10    2.07522492e+00    3.99457070e+00   -6.20268192e-03   -2.54749477e-02
231      7.70000000e-10    2.08912329e+00    3.99078587e+00   -9.46524643e-03   -2.57162252e-02
232      7.73333333e-10    2.09759703e+00    3.99051710e+00   -9.11468406e-03   -2.60261475e-02
233      7.76666667e-10    2.09740971e+00    3.99389012e+00   -5.26243108e-03   -2.62860646e-02
234      7.80000000e-10    2.08863205e+00    3.99961251e+00    6.14880270e-04   -2.63961097e-02
235      7.83333333e-10    2.07461640e+00    4.00547236e+00    6.24603540e-03   -2.63141649e-02
236      7.86666667e-10    2.06071718e+00    4.00921964e+00    9.46946641e-03   -2.60720779e-02
237      7.90000000e-10    2.05224471e+00    4.00944238e+00    9.07408338e-03   -2.57627387e-02
238      7.93333333e-10    2.05243539e+00    4.00607847e+00    5.23326368e-03   -2.55040196e-02
239      7.96666667e-10    2.06121557e+00    4.00040774e+00   -5.92172091e-04   -2.53941601e-02
240      8.00000000e-10    2.07523111e+00    3.99457072e+00   -6.20269247e-03   -2.54750493e-02
241      8.03333333e-10    2.08912942e+00    3.99078589e+00   -9.46525827e-03   -2.57163260e-02
242      8.06666667e-10    2.09760310e+00    3.99051713e+00   -9.11469189e-03   -2.60262476e-02
243      8.10000000e-10    2.09741573e+00    3.99389015e+00   -5.26243628e-03   -2.62861639e-02
244      8.13333333e-10    2.08863801e+00    3.99961254e+00    6.14880947e-04   -2.63962079e-02
245      8.16666667e-10    2.07462231e+00    4.00547240e+00    6.24603713e-03   -2.63142620e-02
246      8.20000000e-10    2.06072304e+00    4.00921968e+00    9.46946911e-03   -2.60721739e-02
247      8.23333333e-10    2.05225050e+00    4.00944241e+00    9.07408158e-03   -2.57628336e-02
248      8.26666667e-10    2.05244113e+00    4.00607850e+00    5.23325916e-03   -2.55041136e-02
249      8.30000000e-10    2.06122126e+00    4.00040776e+00   -5.92181317e-04   -2.53942533e-02
250      8.33333333e-10    2.07523675e+00    3.99457074e+00   -6.20270213e-03   -2.54751417e-02
251      8.36666667e-10    2.08913500e+00    3.99078591e+00   -9.46526902e-03   -2.57164178e-02
252      8.40000000e-10    2.09760863e+00    3.99051715e+00   -9.11469906e-03   -2.60263387e-02
253      8.43333333e-10    2.09742121e+00    3.99389017e+00   -5.26244098e-03   -2.62862542e-02
254      8.46666667e-10    2.08864344e+00    3.99961257e+00    6.14881519e-04   -2.63962973e-02
255      8.50000000e-10    2.07462769e+00    4.00547243e+00    6.24603875e-03   -2.63143505e-02
256      8.53333333e-10    2.06072836e+00    4.00921971e+00    9.46947152e-03   -2.60722613e-02
257      8.56666667e-10    2.05225578e+00    4.00944244e+00    9.07407997e-03   -2.57629200e-02
258      8.60000000e-10    2.05244636e+00    4.00607852e+00    5.23325501e-03   -2.55041992e-02
259      8.63333333e-10    2.06122644e+00    4.00040778e+00   -5.92189681e-04   -2.53943381e-02
260      8.66666667e-10    2.07524188e+00    3.99457076e+00   -6.20271097e-03   -2.54752259e-02
261      8.70000000e-10    2.08914008e+00    3.99078593e+00   -9.46527878e-03   -2.57165014e-02
262      8.73333333e-10    2.09761367e+00    3.99051717e+00   -9.11470563e-03   -2.60264216e-02
263      8.76666667e-10    2.09742620e+00    3.99389019e+00   -5.26244522e-03   -2.62863364e-02
264      8.80000000e-10    2.08864839e+00    3.99961260e+00    6.14882003e-04   -2.63963788e-02
265      8.83333333e-10    2.07463259e+00    4.00547246e+00    6.24604025e-03   -2.63144310e-02
266      8.86666667e-10    2.06073322e+00    4.00921974e+00    9.46947368e-03   -2.60723409e-02
267      8.90000000e-10    2.05226059e+00    4.00944246e+00    9.07407854e-03   -2.57629987e-02
268      8.93333333e-10    2.05245112e+00    4.00607855e+00    5.23325119e-03   -2.55042771e-02
269      8.96666667e-10    2.06123115e+00    4.00040780e+00   -5.92197263e-04   -2.53944153e-02
270      9.00000000e-10    2.07524655e+00    3.99457078e+00   -6.20271905e-03   -2.54753025e-02
271      9.03333333e-10    2.08914471e+00    3.99078595e+00   -9.46528762e-03   -2.57165774e-02
272      9.06666667e-10    2.09761826e+00    3.99051719e+00   -9.11471165e-03   -2.60264971e-02
273      9.10000000e-10    2.09743074e+00    3.99389021e+00   -5.26244904e-03   -2.62864113e-02
274      9.13333333e-10    2.08865289e+00    3.99961263e+00    6.14882411e-04   -2.63964529e-02
275      9.16666667e-10    2.07463705e+00    4.00547248e+00    6.24604166e-03   -2.63145043e-02
276      9.20000000e-10    2.06073763e+00    4.00921977e+00    9.46947562e-03   -2.60724134e-02
277      9.23333333e-10    2.05226496e+00    4.00944249e+00    9.07407728e-03   -2.57630704e-02
