Index       TIME             V(BASE)           V(COLL)           V(OUT)          I(V_SUPPLY)   
138      4.40333333e-10    1.74937112e-01    9.89806374e+00   -5.34992345e-02   -8.05917814e-02
139      4.43666667e-10    2.09290827e-01    9.86751970e+00   -7.96064168e-02   -8.44987241e-02
140      4.47000000e-10    1.64642438e-01    9.85755235e+00   -8.41163363e-02   -8.90808566e-02
141      4.50333333e-10    5.73596152e-02    9.87015766e+00   -6.64907977e-02   -9.36190231e-02
142      4.53666667e-10   -7.27466708e-02    9.89922582e+00   -3.40705831e-02   -9.74626318e-02
143      4.57000000e-10   -1.75883809e-01    9.93347544e+00    1.27231142e-03   -1.00250944e-01
144      4.60333333e-10   -2.11484563e-01    9.95963425e+00    2.65052039e-02   -1.02032449e-01
145      4.63666667e-10   -1.65414243e-01    9.96637887e+00    3.13222379e-02   -1.03265564e-01
146      4.67000000e-10   -5.60066829e-02    9.94920516e+00    1.26817276e-02   -1.04672497e-01
147      4.70333333e-10    7.39872507e-02    9.91339773e+00   -2.27887916e-02   -1.06962449e-01
148      4.73666667e-10    1.74949214e-01    9.87225268e+00   -6.11363447e-02   -1.10534942e-01
149      4.77000000e-10    2.09324437e-01    9.84107979e+00   -8.73593734e-02   -1.15312734e-01
150      4.80333333e-10    1.64669826e-01    9.83043595e+00   -9.20237805e-02   -1.20787472e-01
151      4.83666667e-10    5.73532708e-02    9.84229656e+00   -7.46087491e-02   -1.26241930e-01
152      4.87000000e-10   -7.28001163e-02    9.87055778e+00   -4.24457176e-02   -1.31027691e-01
153      4.90333333e-10   -1.75981053e-01    9.90395698e+00   -7.38547515e-03   -1.34785778e-01
154      4.93666667e-10   -2.11610648e-01    9.92923657e+00    1.75551332e-02   -1.37565886e-01
155      4.97000000e-10   -1.65544918e-01    9.93508403e+00    2.20813738e-02   -1.39827209e-01
156      5.00333333e-10   -5.61102914e-02    9.91701029e+00    3.16604682e-03   -1.42292304e-01
157      5.03666667e-10    7.39389948e-02    9.88031315e+00   -3.25515678e-02   -1.45670246e-01
158      5.07000000e-10    1.74965068e-01    9.83828596e+00   -7.11229413e-02   -1.50360261e-01
159      5.10333333e-10    2.09385669e-01    9.80621803e+00   -9.75678483e-02   -1.56285195e-01
160      5.13666667e-10    1.64737308e-01    9.79464224e+00   -1.02475522e-01   -1.62937523e-01
161      5.17000000e-10    5.73839341e-02    9.80552222e+00   -8.53351853e-02   -1.69601449e-01
162      5.20333333e-10   -7.28368688e-02    9.83275859e+00   -5.34719155e-02   -1.75630102e-01
163      5.23666667e-10   -1.76094274e-01    9.86509844e+00   -1.87254818e-02   -1.80665818e-01
164      5.27000000e-10   -2.11785983e-01    9.88928653e+00    5.89044209e-03   -1.84759402e-01
165      5.30333333e-10   -1.65745898e-01    9.89400811e+00    1.00796794e-02   -1.88371158e-01
166      5.33666667e-10   -5.62855120e-02    9.87477752e+00   -9.18086730e-03   -1.92224730e-01
167      5.37000000e-10    7.38379065e-02    9.83690001e+00   -4.52442070e-02   -1.97030105e-01
168      5.40333333e-10    1.74961406e-01    9.79367049e+00   -8.41602485e-02   -2.03187263e-01
169      5.43666667e-10    2.09465201e-01    9.76037203e+00   -1.10954866e-01   -2.10619888e-01
170      5.47000000e-10    1.64852267e-01    9.74753204e+00   -1.16222292e-01   -2.18821487e-01
171      5.50333333e-10    5.74695124e-02    9.75711648e+00   -9.94488165e-02   -2.27077345e-01
172      5.53666667e-10   -7.28401679e-02    9.78303397e+00   -6.79513158e-02   -2.34741504e-01
173      5.57000000e-10   -1.76219137e-01    9.81403413e+00   -3.35672104e-02   -2.41457036e-01
174      5.60333333e-10   -2.12023841e-01    9.83684990e+00   -9.32179925e-03   -2.47275635e-01
175      5.63666667e-10   -1.66044640e-01    9.84014702e+00   -5.52963618e-03   -2.52659020e-01
176      5.67000000e-10   -5.65639535e-02    9.81942721e+00   -2.52243109e-02   -2.58332782e-01
177      5.70333333e-10    7.36598263e-02    9.77999492e+00   -6.17572230e-02   -2.65009080e-01
178      5.73666667e-10    1.74929538e-01    9.73515129e+00   -1.01169945e-01   -2.73089977e-01
179      5.77000000e-10    2.09571289e-01    9.70019023e+00   -1.28476131e-01   -2.82500951e-01
180      5.80333333e-10    1.65034636e-01    9.68565621e+00   -1.34252535e-01   -2.92736844e-01
181      5.83666667e-10    5.76314992e-02    9.69353536e+00   -1.17966090e-01   -3.03083651e-01
182      5.87000000e-10   -7.27984308e-02    9.71774950e+00   -8.69223416e-02   -3.12895570e-01
183      5.90333333e-10   -1.76362217e-01    9.74704253e+00   -5.29663531e-02   -3.21815703e-01
184      5.93666667e-10   -2.12350214e-01    9.76811814e+00   -2.91534202e-02   -3.29896359e-01
185      5.97000000e-10   -1.66480163e-01    9.76960047e+00   -2.58380411e-02   -3.37601048e-01
186      6.00333333e-10   -5.69863296e-02    9.74695851e+00   -4.60826472e-02   -3.45658399e-01
187      6.03666667e-10    7.33742483e-02    9.70548579e+00   -8.32444579e-02   -3.54784327e-01
188      6.07000000e-10    1.74857590e-01    9.65849537e+00   -1.23348451e-01   -3.65384641e-01
189      6.10333333e-10    2.09713006e-01    9.62131251e+00   -1.51373897e-01   -3.77387843e-01
190      6.13666667e-10    1.65309530e-01    9.60452651e+00   -1.57852354e-01   -3.90290526e-01
191      6.17000000e-10    5.78993478e-02    9.61016663e+00   -1.42210149e-01   -4.03378974e-01
192      6.20333333e-10   -7.26934698e-02    9.63217590e+00   -1.11736009e-01   -4.16006598e-01
193      6.23666667e-10   -1.76530059e-01    9.65928369e+00   -7.82938879e-02   -4.27815605e-01
194      6.27000000e-10   -2.12801185e-01    9.67814244e+00   -5.49922644e-02   -4.38858503e-01
195      6.30333333e-10   -1.67111444e-01    9.67730561e+00   -5.22542139e-02   -4.49601035e-01
196      6.33666667e-10   -5.76188681e-02    9.65218214e+00   -7.31960156e-02   -4.60776239e-01
197      6.37000000e-10    7.29265569e-02    9.60804022e+00   -1.11191680e-01   -4.73105867e-01
198      6.40333333e-10    1.74718328e-01    9.55821052e+00   -1.52240306e-01   -4.87001688e-01
199      6.43666667e-10    2.09897969e-01    9.51807533e+00   -1.81258860e-01   -5.02396923e-01
200      6.47000000e-10    1.65714938e-01    9.49830567e+00   -1.88696668e-01   -5.18790573e-01
201      6.50333333e-10    5.83237144e-02    9.50100695e+00   -1.73908548e-01   -5.35468696e-01
202      6.53666667e-10   -7.24891456e-02    9.52015804e+00   -1.44155330e-01   -5.51782613e-01
203      6.57000000e-10   -1.76727155e-01    9.54446491e+00   -1.11332213e-01   -5.67372231e-01
204      6.60333333e-10   -2.13434116e-01    9.56049958e+00   -8.86320642e-02   -5.82289489e-01
205      6.63666667e-10   -1.68040386e-01    9.55670309e+00   -8.65878847e-02   -5.97002778e-01
206      6.67000000e-10   -5.85821716e-02    9.52838348e+00   -1.08407644e-01   -6.12251335e-01
207      6.70333333e-10    7.22111912e-02    9.48075979e+00   -1.47501043e-01   -6.28765614e-01
208      6.73666667e-10    1.74451835e-01    9.42718455e+00   -1.89831856e-01   -6.46966542e-01
209      6.77000000e-10    2.10129557e-01    9.38313055e+00   -2.20217547e-01   -6.66794623e-01
210      6.80333333e-10    1.66314050e-01    9.35940413e+00   -2.28971009e-01   -6.87752379e-01
211      6.83666667e-10    5.89981307e-02    9.35824013e+00   -2.15325138e-01   -7.09124974e-01
212      6.87000000e-10   -7.21123769e-02    9.37368279e+00   -1.86488683e-01   -7.30259592e-01
213      6.90333333e-10   -1.76953803e-01    9.39440821e+00   -1.54400302e-01   -7.50791409e-01
214      6.93666667e-10   -2.14351978e-01    9.40686664e+00   -1.32382444e-01   -7.70770161e-01
215      6.97000000e-10   -1.69462870e-01    9.39932133e+00   -1.31143553e-01   -7.90667028e-01
216      7.00333333e-10   -6.01195575e-02    9.36691157e+00   -1.54046966e-01   -8.11229813e-01
217      7.03666667e-10    7.10020008e-02    9.31476275e+00   -1.94575052e-01   -8.33201908e-01
218      7.07000000e-10    1.73913106e-01    9.25624610e+00   -2.38650835e-01   -8.57018427e-01
219      7.10333333e-10    2.10388411e-01    9.20696900e+00   -2.70941527e-01   -8.82631509e-01
220      7.13666667e-10    1.67218558e-01    9.17795751e+00   -2.81537061e-01   -9.09549401e-01
221      7.17000000e-10    6.01144333e-02    9.17167396e+00   -2.69454232e-01   -9.37055543e-01
222      7.20333333e-10   -7.13966585e-02    9.18229720e+00   -2.41789541e-01   -9.64489357e-01
223      7.23666667e-10   -1.77191929e-01    9.19848108e+00   -2.10528388e-01   -9.91476385e-01
224      7.27000000e-10   -2.15767247e-01    9.20649248e+00   -1.89192950e-01   -1.01806016e+00
225      7.30333333e-10   -1.71821470e-01    9.19430262e+00   -1.88783586e-01   -1.04471357e+00
226      7.33666667e-10   -6.28199251e-02    9.15675403e+00   -2.12941345e-01   -1.07219596e+00
227      7.37000000e-10    6.87012547e-02    9.09878126e+00   -2.55305876e-01   -1.10127037e+00
228      7.40333333e-10    1.72651311e-01    9.03373825e+00   -3.01779378e-01   -1.13239505e+00
229      7.43666667e-10    2.10509520e-01    8.97740974e+00   -3.36821201e-01   -1.16554258e+00
230      7.47000000e-10    1.68618291e-01    8.94117818e+00   -3.50153608e-01   -1.20023278e+00
231      7.50333333e-10    6.21415624e-02    8.92794906e+00   -3.40365420e-01   -1.23574733e+00
232      7.53666667e-10   -6.98554280e-02    8.93224840e+00   -3.14245709e-01   -1.27141071e+00
233      7.57000000e-10   -1.77316426e-01    8.94280586e+00   -2.83754897e-01   -1.30682647e+00
234      7.60333333e-10   -2.18248363e-01    8.94562968e+00   -2.62715399e-01   -1.34201921e+00
235      7.63666667e-10   -1.76518145e-01    8.92818080e+00   -2.62652034e-01   -1.37745570e+00
236      7.67000000e-10   -6.88403342e-02    8.88473799e+00   -2.87748174e-01   -1.41390705e+00
237      7.70333333e-10    6.26202040e-02    8.81982296e+00   -3.32004772e-01   -1.45216437e+00
238      7.73666667e-10    1.67757758e-01    8.74661959e+00   -3.81427080e-01   -1.49272366e+00
239      7.77000000e-10    2.07811404e-01    8.68096844e+00   -4.20352247e-01   -1.53559720e+00
240      7.80333333e-10    1.68675428e-01    8.63456683e+00   -4.38137531e-01   -1.58033827e+00
241      7.83666667e-10    6.45001980e-02    8.61112813e+00   -4.32553207e-01   -1.62624336e+00
242      7.87000000e-10   -6.77960342e-02    8.60687367e+00   -4.08763771e-01   -1.67261000e+00
243      7.90333333e-10   -1.83121333e-01    8.61448985e+00   -3.75021418e-01   -1.71892060e+00
244      7.93666667e-10   -2.44657812e-01    8.62471505e+00   -3.40931130e-01   -1.76493386e+00
245      7.97000000e-10   -1.61280847e-01    8.56330228e+00   -3.78367293e-01   -1.81180023e+00
246      8.00333333e-10    6.32327571e-03    8.44848006e+00   -4.65074771e-01   -1.86160386e+00
247      8.03666667e-10    1.38724226e-01    8.38450931e+00   -4.96977129e-01   -1.91438737e+00
248      8.07000000e-10    1.88349886e-01    8.35612077e+00   -4.92386861e-01   -1.96871020e+00
249      8.10333333e-10    1.47771210e-01    8.33147833e+00   -4.84467492e-01   -2.02391688e+00
250      8.13666667e-10    6.02555824e-02    8.30568944e+00   -4.78168518e-01   -2.07996409e+00
251      8.17000000e-10   -4.29748655e-02    8.27556851e+00   -4.76468223e-01   -2.13694312e+00
252      8.20333333e-10   -1.33649987e-01    8.24518963e+00   -4.75127256e-01   -2.19493049e+00
253      8.23666667e-10   -2.00700171e-01    8.21782147e+00   -4.70959201e-01   -2.25388030e+00
254      8.27000000e-10   -2.39296637e-01    8.20197878e+00   -4.55906368e-01   -2.31355030e+00
255      8.30333333e-10   -2.65274976e-01    8.21040512e+00   -4.18338534e-01   -2.37334390e+00
256      8.33666667e-10   -3.16513504e-01    8.26676175e+00   -3.36810278e-01   -2.43205779e+00
257      8.37000000e-10   -4.43625875e-01    8.39371636e+00   -1.92221277e-01   -2.48771648e+00
258      8.40333333e-10   -6.92536137e-01    8.60519024e+00    2.48322354e-02   -2.53773471e+00
259      8.43666667e-10   -1.22717255e+00    9.00977996e+00    4.14768590e-01   -2.57748520e+00
260      8.44083333e-10   -1.34722920e+00    9.07904859e+00    4.80036920e-01   -2.58132250e+00
261      8.44916667e-10   -1.61305230e+00    9.28610822e+00    6.77450817e-01   -2.58813435e+00
262      8.46583333e-10   -3.34048507e+00    1.04291862e+01    1.77957830e+00   -2.59050689e+00
263      8.46635417e-10   -3.42156739e+00    1.04865848e+01    1.83506534e+00   -2.59025346e+00
264      8.46739583e-10   -3.57637698e+00    1.06038752e+01    1.94841462e+00   -2.58968552e+00
265      8.46947917e-10   -3.89273674e+00    1.08460336e+01    2.18196808e+00   -2.58817520e+00
266      8.47000000e-10   -3.98269025e+00    1.09077682e+01    2.24136794e+00   -2.58770240e+00
267      8.47104167e-10   -4.17202880e+00    1.10320998e+01    2.36090554e+00   -2.58669205e+00
268      8.47130208e-10   -4.22414788e+00    1.10631616e+01    2.39072211e+00   -2.58641519e+00
269      8.47182292e-10   -4.33262065e+00    1.11249707e+01    2.45000999e+00   -2.58584536e+00
270      8.47286458e-10   -4.60943555e+00    1.12381744e+01    2.55799708e+00   -2.58461456e+00
271      8.47312500e-10   -4.70997982e+00    1.12588608e+01    2.57734107e+00   -2.58428673e+00
272      8.47364583e-10   -4.90548105e+00    1.12927166e+01    2.60849597e+00   -2.58362225e+00
273      8.47468750e-10   -5.18061930e+00    1.13566663e+01    2.66695033e+00   -2.58224237e+00
274      8.47494792e-10   -5.21928570e+00    1.13739357e+01    2.68282251e+00   -2.58188457e+00
275      8.47546875e-10   -5.28497188e+00    1.14078035e+01    2.71387950e+00   -2.58116016e+00
276      8.47651042e-10   -5.36183389e+00    1.14698417e+01    2.77020514e+00   -2.57966139e+00
277      8.47677083e-10   -5.37121647e+00    1.14834039e+01    2.78231816e+00   -2.57927508e+00
278      8.47729167e-10   -5.38589683e+00    1.15091155e+01    2.80511963e+00   -2.57849578e+00
279      8.47833333e-10   -5.39817483e+00    1.15511410e+01    2.84126352e+00   -2.57690190e+00
280      8.47859375e-10   -5.39843477e+00    1.15591992e+01    2.84783841e+00   -2.57649586e+00
