Index       TIME              V(IN)            V(BASE)           V(COLL)           V(OUT)           V(OUT_50)          I(V_DD)     
119      3.92031370e-10   -2.49409500e-02    8.26214181e-01    1.23595261e+00    1.79292434e+00    2.80485368e-02   -3.53537829e-03
120      3.95364703e-10   -1.91682672e-02    8.31939643e-01    1.24349077e+00    1.79928184e+00    3.23913686e-02   -3.50359081e-03
121      3.98698036e-10   -6.07395788e-03    8.42670141e-01    1.22912301e+00    1.79393336e+00    2.51256558e-02   -3.53033321e-03
122      4.02031370e-10    9.34039695e-03    8.54228850e-01    1.19683934e+00    1.77785904e+00    7.94885319e-03   -3.61070480e-03
123      4.05364703e-10    2.11870376e-02    8.62202849e-01    1.15916525e+00    1.75652572e+00   -1.32091199e-02   -3.71737138e-03
124      4.08698036e-10    2.49409500e-02    8.63620078e-01    1.13192840e+00    1.73878045e+00   -2.95297611e-02   -3.80609773e-03
125      4.12031370e-10    1.91682672e-02    8.57974209e-01    1.12606868e+00    1.73238118e+00   -3.38174651e-02   -3.83809412e-03
126      4.15364703e-10    6.07395788e-03    8.47381712e-01    1.14300057e+00    1.73971580e+00   -2.45376694e-02   -3.80142100e-03
127      4.18698036e-10   -9.34039695e-03    8.35829496e-01    1.17517531e+00    1.75706983e+00   -6.16037009e-03   -3.71465084e-03
128      4.22031370e-10   -2.11870376e-02    8.27722783e-01    1.21022231e+00    1.77719253e+00    1.37106488e-02   -3.61403737e-03
129      4.25364703e-10   -2.49409500e-02    8.26218542e-01    1.23594560e+00    1.79291484e+00    2.80412379e-02   -3.53542578e-03
130      4.28698036e-10   -1.91682672e-02    8.31943964e-01    1.24348349e+00    1.79927195e+00    3.23841646e-02   -3.50364024e-03
131      4.32031370e-10   -6.07395788e-03    8.42674412e-01    1.22911524e+00    1.79392270e+00    2.51181675e-02   -3.53038651e-03
132      4.35364703e-10    9.34039695e-03    8.54233080e-01    1.19683122e+00    1.77784743e+00    7.94092777e-03   -3.61076285e-03
133      4.38698036e-10    2.11870376e-02    8.62207054e-01    1.15915715e+00    1.75651325e+00   -1.32173726e-02   -3.71743376e-03
134      4.42031370e-10    2.49409500e-02    8.63624274e-01    1.13192058e+00    1.73876739e+00   -2.95380532e-02   -3.80616307e-03
135      4.45364703e-10    1.91682672e-02    8.57978401e-01    1.12606126e+00    1.73236778e+00   -3.38255348e-02   -3.83816108e-03
136      4.48698036e-10    6.07395788e-03    8.47385903e-01    1.14299364e+00    1.73970234e+00   -2.45452810e-02   -3.80148828e-03
137      4.52031370e-10   -9.34039695e-03    8.35833686e-01    1.17516887e+00    1.75705649e+00   -6.16738168e-03   -3.71471756e-03
138      4.55364703e-10   -2.11870376e-02    8.27726966e-01    1.21021627e+00    1.77717936e+00    1.37042570e-02   -3.61410322e-03
139      4.58698036e-10   -2.49409500e-02    8.26222704e-01    1.23593967e+00    1.79290168e+00    2.80352652e-02   -3.53549159e-03
140      4.62031370e-10   -1.91682672e-02    8.31948087e-01    1.24347729e+00    1.79925847e+00    3.23782685e-02   -3.50370765e-03
141      4.65364703e-10   -6.07395788e-03    8.42678486e-01    1.22910856e+00    1.79390853e+00    2.51119859e-02   -3.53045736e-03
142      4.68698036e-10    9.34039695e-03    8.54237114e-01    1.19682421e+00    1.77783240e+00    7.93431509e-03   -3.61083799e-03
143      4.72031370e-10    2.11870376e-02    8.62211066e-01    1.15915014e+00    1.75649744e+00   -1.32243092e-02   -3.71751278e-03
144      4.75364703e-10    2.49409500e-02    8.63628276e-01    1.13191383e+00    1.73875107e+00   -2.95450374e-02   -3.80624465e-03
145      4.78698036e-10    1.91682672e-02    8.57982399e-01    1.12605490e+00    1.73235122e+00   -3.38323145e-02   -3.83824392e-03
146      4.82031370e-10    6.07395788e-03    8.47389900e-01    1.14298771e+00    1.73968577e+00   -2.45516317e-02   -3.80157117e-03
